Project,Client,Title,Duration
SOS2021-05,,#10 Actualizar index.html para el F04,02:19:49
SOS2021-05,,#11 Realizar API REST (Iván),01:51:49
SOS2021-05,,#13 Realizar API RES (Josan),07:36:01
SOS2021-05,,#2 Completar plantilla propuesta (Manuel),04:53:33
SOS2021-05,,#20 Realización de las tareas del L07,09:44:21
SOS2021-05,,#21 Realización tareas de F05 Y F06 (Josan),07:12:25
SOS2021-05,,#22 Implementación de Svelte para el Front End,05:34:55
SOS2021-05,,#27 Realización de las tareas para el F08,07:14:37
SOS2021-05,,#28 Tareas para F08,06:27:58
SOS2021-05,,#29 Implementación en la GUI de lo especificado en el Backlog,03:21:50
SOS2021-05,,#3 Completar plantilla propuesta (José Antonio Megías Macías),02:50:17
SOS2021-05,,#30 Implementaciones FRONT-END,06:12:19
SOS2021-05,,#32 Implementaciones FRONT-END,04:41:06
SOS2021-05,,#33 Creación de tabla personal,07:18:17
SOS2021-05,,#34 Tareas para la F10,07:15:00
SOS2021-05,,#35 Realización de las integraciones,23:50:24
SOS2021-05,,#36 Entregable D03,87:06:59
SOS2021-05,,#4 Realización tareas para el F02(Manuel),01:13:14
SOS2021-05,,#5 Implementación código servidor NodeJS,02:53:18
SOS2021-05,,#6 Configuración de archivo index.html,04:30:23
SOS2021-05,,#7 Modificación index.js,03:05:21
SOS2021-05,,#8 Integración de Heroku en el proyecto,03:20:37
SOS2021-05,,#9 Realización de tareas para F03,04:22:23
SOS2021-05,,API attacks-stats FRONT-END,07:17:36
SOS2021-05,,Completar plantilla propuesta (Iván),03:01:27
SOS2021-05,,Entregable D03,38:21:13
SOS2021-05,,Issue -> Realizar API REST (Manuel) #12,03:36:26
